Lab,Tester_Id,Exp,PVS,Scene,Camera,OS,Timestamp,Camera_w_ver,Orientation
agh,262,ccriq2,PipesNight_H_phon_5mp.jpg,PipesNight,H,2,2017-12-04 15:36:16,Hver1,
agh,271,ccriq2,BouquetPastel_B_compct_1mp.JPG,BouquetPastel,B,1,2017-12-04 15:36:22,Bver1,
agh,262,ccriq2,BouquetPastel_J_tab_5mp.jpg,BouquetPastel,J,2,2017-12-04 15:36:24,Jver1,
agh,268,ccriq2,BouquetPastel_B_compct_1mp.JPG,BouquetPastel,B,1,2017-12-04 15:36:27,Bver1,
agh,282,ccriq2,Senior_N_phon_8mp.jpg,Senior,N,3,2017-12-04 15:36:28,Nver1,
agh,265,ccriq2,Senior_T_comct_13mp.JPG,Senior,T,4,2017-12-04 15:36:28,Tver1,
agh,262,ccriq2,BouquetPastel_F_dslr_5mp.JPG,BouquetPastel,F,3,2017-12-04 15:36:28,Fver1,
agh,271,ccriq2,PipesNight_A_phon_1mp.jpg,PipesNight,A,1,2017-12-04 15:36:28,Aver1,
agh,268,ccriq2,Senior_D_tab_1mp.JPG,Senior,D,1,2017-12-04 15:36:29,Dver1,
agh,269,ccriq2,DenverBotanicGardensRocks_M_phon_8mp.JPG,DenverBotanicGardensRocks,M,5,2017-12-04 15:36:29,Mver1,
agh,267,ccriq2,PipesNight_R_phon_13mp.jpg,PipesNight,R,2,2017-12-04 15:36:30,Rver1,
agh,270,ccriq2,DenverBotanicGardensRocks_L_phon_8mp.JPG,DenverBotanicGardensRocks,L,4,2017-12-04 15:36:30,Lver1,
agh,282,ccriq2,BouquetPastel_R_phon_13mp.jpg,BouquetPastel,R,3,2017-12-04 15:36:31,Rver1,
agh,266,ccriq2,PipesNight_W_compct_20mp.JPG,PipesNight,W,4,2017-12-04 15:36:31,Wver1,
agh,267,ccriq2,PipesNight_N_phon_8mp.jpg,PipesNight,N,1,2017-12-04 15:36:31,Nver1,
agh,262,ccriq2,BouquetPastel_E_compct_5mp.JPG,BouquetPastel,E,3,2017-12-04 15:36:33,Ever1,
agh,282,ccriq2,PipesNight_W_compct_20mp.JPG,PipesNight,W,4,2017-12-04 15:36:33,Wver1,
agh,270,ccriq2,Senior_Q_phon_13mp.jpg,Senior,Q,3,2017-12-04 15:36:33,Qver1,
agh,265,ccriq2,BouquetPastel_D_tab_1mp.JPG,BouquetPastel,D,2,2017-12-04 15:36:34,Dver1,
agh,268,ccriq2,PipesNight_O_compct_8mp.JPG,PipesNight,O,3,2017-12-04 15:36:34,Over1,
agh,267,ccriq2,DenverBotanicGardensRocks_D_tab_1mp.JPG,DenverBotanicGardensRocks,D,2,2017-12-04 15:36:34,Dver1,
agh,264,ccriq2,DenverBotanicGardensRocks_G_phon_5mp.jpg,DenverBotanicGardensRocks,G,1,2017-12-04 15:36:34,Gver1,
agh,262,ccriq2,Senior_B_compct_1mp.JPG,Senior,B,1,2017-12-04 15:36:35,Bver1,
agh,269,ccriq2,BouquetPastel_E_compct_5mp.JPG,BouquetPastel,E,3,2017-12-04 15:36:35,Ever1,
agh,282,ccriq2,PipesNight_N_phon_8mp.jpg,PipesNight,N,1,2017-12-04 15:36:35,Nver1,
agh,271,ccriq2,BouquetPastel_K_dslr_8mp.JPG,BouquetPastel,K,5,2017-12-04 15:36:36,Kver1,
agh,270,ccriq2,BouquetPastel_P_compct_13mp.JPG,BouquetPastel,P,4,2017-12-04 15:36:36,Pver1,
agh,266,ccriq2,PipesNight_K_dslr_8mp.JPG,PipesNight,K,2,2017-12-04 15:36:36,Kver1,
agh,282,ccriq2,BouquetPastel_D_tab_1mp.JPG,BouquetPastel,D,1,2017-12-04 15:36:37,Dver1,
agh,262,ccriq2,PipesNight_J_tab_5mp.JPG,PipesNight,J,1,2017-12-04 15:36:37,Jver1,
agh,268,ccriq2,Senior_H_phon_5mp.jpg,Senior,H,3,2017-12-04 15:36:38,Hver1,
agh,267,ccriq2,DenverBotanicGardensRocks_S_phon_13mp.jpg,DenverBotanicGardensRocks,S,3,2017-12-04 15:36:38,Sver1,
agh,270,ccriq2,Senior_P_compct_13mp.JPG,Senior,P,4,2017-12-04 15:36:38,Pver1,
agh,265,ccriq2,PipesNight_S_phon_13mp.jpg,PipesNight,S,1,2017-12-04 15:36:39,Sver1,
agh,266,ccriq2,PipesNight_O_compct_8mp.JPG,PipesNight,O,1,2017-12-04 15:36:39,Over1,
agh,262,ccriq2,DenverBotanicGardensRocks_F_dslr_5mp.JPG,DenverBotanicGardensRocks,F,2,2017-12-04 15:36:40,Fver1,
agh,267,ccriq2,BouquetPastel_X_dslr_20mp.JPG,BouquetPastel,X,4,2017-12-04 15:36:40,Xver1,
agh,275,ccriq2,BouquetPastel_U_dslr_13mp.JPG,BouquetPastel,U,4,2017-12-04 15:36:40,Uver1,
agh,270,ccriq2,DenverBotanicGardensRocks_Q_phon_13mp.jpg,DenverBotanicGardensRocks,Q,2,2017-12-04 15:36:41,Qver1,
