ID,ID_USER,TEST_DATE,MOS,MOS_MAX,ID_FILE,ID_TEST,TEST_NUMBER
22402,286,"2018-12-05 10:32:26",3,5,946,90,1
22403,286,"2018-12-05 10:32:29",5,5,941,90,1
22404,286,"2018-12-05 10:32:35",2,5,1005,90,1
22405,286,"2018-12-05 10:32:40",3,5,967,90,1
22406,286,"2018-12-05 10:32:43",2,5,1007,90,1
22407,286,"2018-12-05 10:32:48",1,5,957,90,1
22408,286,"2018-12-05 10:32:53",2,5,962,90,1
22409,286,"2018-12-05 10:32:58",2,5,950,90,1
22410,286,"2018-12-05 10:33:06",3,5,988,90,1
22411,286,"2018-12-05 10:33:09",2,5,968,90,1
22412,286,"2018-12-05 10:33:20",3,5,999,90,1
22413,286,"2018-12-05 10:33:31",3,5,1004,90,1
22414,286,"2018-12-05 10:33:34",2,5,929,90,1
22415,286,"2018-12-05 10:33:40",5,5,1014,90,1
22416,286,"2018-12-05 10:33:49",4,5,1024,90,1
22417,286,"2018-12-05 10:34:02",5,5,936,90,1
22418,286,"2018-12-05 10:34:05",3,5,965,90,1
22419,286,"2018-12-05 10:34:11",3,5,951,90,1
22420,286,"2018-12-05 10:34:15",4,5,956,90,1
22421,286,"2018-12-05 10:34:19",2,5,1018,90,1
22422,286,"2018-12-05 10:34:24",1,5,939,90,1
22423,286,"2018-12-05 10:34:29",1,5,989,90,1
22424,286,"2018-12-05 10:34:36",3,5,944,90,1
22425,286,"2018-12-05 10:34:40",3,5,948,90,1
22426,286,"2018-12-05 10:34:47",4,5,973,90,1
22427,286,"2018-12-05 10:34:52",5,5,1019,90,1
22428,286,"2018-12-05 10:34:57",4,5,992,90,1
22429,286,"2018-12-05 10:34:59",1,5,928,90,1
22430,286,"2018-12-05 10:35:07",5,5,976,90,1
22431,286,"2018-12-05 10:35:10",1,5,996,90,1
22432,286,"2018-12-05 10:35:15",4,5,974,90,1
22433,286,"2018-12-05 10:35:20",2,5,954,90,1
22434,286,"2018-12-05 10:35:23",1,5,995,90,1
22435,286,"2018-12-05 10:35:30",5,5,986,90,1
22436,286,"2018-12-05 10:35:34",5,5,1027,90,1
22437,286,"2018-12-05 10:35:37",5,5,979,90,1
22438,286,"2018-12-05 10:35:45",5,5,969,90,1
22439,286,"2018-12-05 10:35:53",4,5,1002,90,1
22440,286,"2018-12-05 10:35:58",4,5,1023,90,1
22441,286,"2018-12-05 10:36:00",1,5,1015,90,1
22442,414,"2018-12-06 13:20:13",2,5,928,90,1
22443,414,"2018-12-06 13:20:19",4,5,1024,90,1
22445,414,"2018-12-06 13:20:24",1,5,931,90,1
22447,414,"2018-12-06 13:20:29",5,5,1027,90,1
22449,414,"2018-12-06 13:20:32",1,5,971,90,1
22451,414,"2018-12-06 13:20:35",1,5,949,90,1
22452,414,"2018-12-06 13:20:37",1,5,960,90,1
22454,414,"2018-12-06 13:20:40",2,5,977,90,1
22456,414,"2018-12-06 13:20:43",2,5,997,90,1
22457,414,"2018-12-06 13:20:48",3,5,994,90,1
22458,414,"2018-12-06 13:20:59",2,5,939,90,1
22459,414,"2018-12-06 13:21:02",2,5,995,90,1
22460,414,"2018-12-06 13:21:06",4,5,1022,90,1
22461,414,"2018-12-06 13:21:10",1,5,975,90,1
22462,414,"2018-12-06 13:21:14",2,5,1005,90,1
22463,414,"2018-12-06 13:21:19",4,5,1012,90,1
22464,414,"2018-12-06 13:21:23",2,5,968,90,1
22465,414,"2018-12-06 13:21:27",2,5,970,90,1
22467,414,"2018-12-06 13:21:32",5,5,986,90,1
22469,414,"2018-12-06 13:21:38",5,5,937,90,1
22472,414,"2018-12-06 13:21:50",4,5,1026,90,1
22474,414,"2018-12-06 13:21:53",2,5,933,90,1
22476,414,"2018-12-06 13:21:56",5,5,991,90,1
22477,414,"2018-12-06 13:22:00",5,5,1019,90,1
22478,414,"2018-12-06 13:22:04",2,5,951,90,1
22479,414,"2018-12-06 13:22:08",2,5,1018,90,1
22481,414,"2018-12-06 13:22:11",1,5,926,90,1
22482,414,"2018-12-06 13:22:14",5,5,1014,90,1
22484,414,"2018-12-06 13:22:17",1,5,996,90,1
22486,414,"2018-12-06 13:22:22",5,5,967,90,1
22488,414,"2018-12-06 13:22:24",1,5,989,90,1
22493,414,"2018-12-06 13:22:47",5,5,992,90,1
22498,414,"2018-12-06 13:22:52",2,5,954,90,1
22500,414,"2018-12-06 13:22:57",2,5,1015,90,1
