CreationDate,Id,LinkTypeId,PostId,RelatedPostId
2010-08-26T20:33:50.797,31,1,262,261
2010-08-29T21:51:09.093,47,1,401,244
2010-08-30T01:57:19.137,48,1,132,3
2010-08-31T19:13:55.077,65,1,367,27
2010-08-31T19:13:55.077,66,1,367,246
2010-09-01T21:49:41.197,78,1,513,515
2010-09-01T21:49:41.197,79,1,513,518
2010-09-02T00:17:39.220,82,1,525,478
2010-09-02T14:30:16.120,92,1,562,244
2010-09-03T01:01:31.437,238,1,616,471
2010-09-03T14:43:00.863,258,1,630,471
2010-09-03T14:43:00.863,259,1,630,41
2010-09-03T14:43:00.863,260,1,630,603
2010-09-03T14:43:00.863,261,1,630,89
2010-09-06T20:19:06.393,343,1,725,244
2010-09-09T04:12:30.600,6677,1,689,573
2010-09-10T22:01:24.740,9284,1,849,210
2010-09-13T10:40:17.707,11530,1,790,689
2010-09-14T14:22:20.080,13434,1,803,244
2010-09-14T14:34:25.290,13460,1,52,244
2010-09-14T15:30:32.187,13565,1,910,623
2010-09-16T09:23:16.697,16691,1,236,141
2010-09-16T18:07:02.663,17020,1,205,164
2010-09-17T22:01:53.590,18032,1,716,130
2010-09-20T12:00:13.343,19883,1,1061,1
2010-09-21T20:57:27.263,21380,1,369,1112
2010-09-22T17:52:45.387,22115,1,777,515
2010-09-22T17:52:45.387,22116,1,777,513
2010-09-24T03:44:07.630,23810,1,321,3
2010-09-25T19:01:43.857,25103,1,1007,51
2010-09-26T20:45:26.207,25635,1,1005,244
2010-09-26T20:52:08.380,25660,1,1121,743
2010-09-27T06:49:20.150,25926,1,1041,429
2010-09-28T04:34:09.033,26314,1,1055,244
2010-09-29T01:39:07.160,26956,1,1070,633
2010-09-30T01:14:47.293,27348,1,1247,689
2010-09-30T01:14:47.293,27349,1,1247,695
2010-09-30T08:42:04.867,27788,1,1157,1147
2010-10-01T01:42:32.227,28348,1,1256,1257
2010-10-01T01:42:32.227,28349,1,1256,394
2010-10-01T20:02:47.930,28864,1,1257,1256
2010-10-01T21:05:14.773,28890,1,1073,623
2010-10-02T17:34:04.160,29757,1,1311,244
2010-10-02T19:51:20.083,30008,1,1285,1282
2010-10-05T14:01:10.900,32558,1,1359,1195
2010-10-06T06:24:53.060,33363,1,14,874
2010-10-06T14:23:28.920,33756,1,1414,244
2010-10-06T18:56:06.083,33905,1,1147,89
2010-10-06T18:56:06.083,33906,1,1147,731
2010-10-06T22:19:20.330,33955,1,186,816
2010-10-06T23:35:57.630,33981,1,1376,1221
2010-10-07T06:32:33.010,34418,1,420,244
2010-10-07T18:57:03.707,35033,1,573,244
2010-10-07T18:57:03.707,35034,1,573,205
2010-10-07T18:57:03.707,35035,1,573,520
2010-10-08T08:11:18.640,35715,1,2,6
2010-10-09T06:46:39.410,36512,1,1457,1349
2010-10-09T08:43:36.557,36586,1,1385,1466
2010-10-09T08:43:36.557,36587,1,1385,370
2010-10-09T20:51:37.737,36884,1,1483,856
2010-10-09T21:11:34.457,36887,1,1340,730
2010-10-10T18:31:05.617,37395,1,1491,51
2010-10-10T18:31:05.617,37396,1,1491,1007
2010-10-10T22:01:09.560,37662,1,827,845
2010-10-11T19:02:09.023,38612,1,1505,1103
2010-10-12T12:57:01.343,39315,1,1507,692
2010-10-13T01:42:08.173,39652,1,1528,1452
2010-10-13T18:22:55.907,40070,1,1548,167
2010-10-13T23:02:35.393,40434,1,730,1340
2010-10-14T00:47:17.720,40511,1,1195,244
2010-10-14T11:07:10.740,41013,1,520,166
2010-10-14T11:07:10.740,41014,1,520,573
2010-10-14T17:23:34.050,41509,1,338,1396
2010-10-14T18:46:31.783,41877,1,1560,1195
2010-10-14T19:10:30.667,41927,1,1595,555
2010-10-14T21:57:06.927,42151,1,1275,827
2010-10-15T09:10:30.727,42617,1,1551,1613
2010-10-15T11:53:08.133,42864,1,1613,1551
2010-10-15T11:56:24.887,42867,1,1550,167
2010-10-15T13:10:21.310,42990,1,167,1548
2010-10-16T04:39:38.363,43910,1,1549,1505
2010-10-16T15:19:20.983,44080,1,938,1549
2010-10-17T01:37:08.513,44419,1,1601,244
2010-10-18T04:50:26.410,46159,1,468,835
2010-10-18T05:12:57.000,46190,1,1696,1507
2010-10-18T05:12:57.000,46191,1,1696,692
2010-10-18T05:54:31.107,46240,1,1665,1663
2010-10-18T06:13:49.297,46266,1,1677,1665
2010-10-18T10:59:18.830,46549,1,535,1678
2010-10-19T14:53:02.960,48465,1,1744,1667
2010-10-19T15:53:52.103,48490,1,1736,1644
2010-10-19T17:30:25.333,48812,1,1717,244
2010-10-19T17:30:25.333,48813,1,1717,1614
2010-10-19T17:30:25.333,48814,1,1717,1752
2010-10-19T22:42:44.773,49865,1,1769,820
2010-10-20T04:07:25.233,50426,1,1761,1760
2010-10-20T16:37:15.857,51089,1,1298,573
2010-10-20T16:37:15.857,51090,1,1298,1304
2010-10-20T16:37:15.857,51091,1,1298,27
2010-10-20T16:37:15.857,51092,1,1298,1195
2010-10-20T16:41:06.337,51093,1,246,27
2010-10-21T20:46:41.427,53152,1,350,1215
2010-10-22T14:34:19.380,54057,1,244,573
2010-10-22T14:34:19.380,54058,1,244,1195
2010-10-22T14:34:19.380,54059,1,244,1414
