Count,ExcerptPostId,Id,TagName,WikiPostId
21,,1,schrader,
44,,2,presta,
636,3176,4,chain,3175
117,5375,5,lubricant,5374
594,5390,6,frames,5389
155,12807,10,single-speed,12806
893,3116,12,tire,3115
19,4855,13,26-inch,4854
71,44757,19,full-suspension,44756
491,4280,21,derailleur,4279
32,50921,23,price,50920
782,3182,24,wheels,3181
156,5505,27,racing,5504
520,5427,28,gears,5426
33,,31,crack,
815,4999,32,brakes,4998
174,5596,33,puncture,5595
115,5517,35,cleaning,5516
388,5515,36,bottom-bracket,5514
29,51656,37,creak,51655
130,5003,38,clothes,5002
4,,39,spandex,
124,38917,40,noise,38916
382,5503,41,disc-brake,5502
56,4198,44,ergonomics,4197
119,3178,45,mechanical,3177
56,44690,46,valves,44689
70,44844,47,storage,44843
42,25399,49,dropouts,25398
265,5373,52,pedals,5372
786,2498,54,maintenance,2497
376,2500,55,commuter,2499
122,44842,56,bmx,44841
711,4842,60,shimano,4841
217,44692,68,hydraulic-disc-brake,44691
1105,3064,72,road-bike,3063
87,5414,73,security,5413
98,25437,74,lock,25436
330,5521,75,fork,5520
206,6949,77,drivetrain,6948
30,,78,maps,
42,,79,bikeroutes,
30,,80,trails,
129,5594,81,tools,5593
10,,82,iphone,
31,63103,87,coaster,63102
286,13001,93,hub,13000
203,5371,94,training,5370
69,6524,95,clipless,6523
70,2511,96,cargo,2510
45,,98,modification,
52,,99,performance,
116,44753,100,technique,44752
6,,101,resource,
40,23511,102,dynamo-hub,23510
118,44759,103,bearings,44758
67,,104,paintjob,
31,38493,109,heart-rate,38492
56,9276,110,recumbent,9275
40,,112,injury,
39,,115,city,
135,38815,116,headset,38814
46,55967,118,terminology,55966
85,21701,122,brake-pads,21700
233,5852,123,bike-fit,5851
226,2993,125,touring,2992
103,44789,128,conversion,44788
154,38813,130,seatpost,38812
179,6350,131,saddle,6349
17,,134,visibility,
81,38817,135,traffic,38816
31,37079,136,car-rack,37078
161,5519,137,fixed-gear,5518
47,,138,theft,
100,38819,140,rim-brake,38818
92,41787,141,weight,41786
25,,142,distance-riding,
70,4322,143,panniers,4321
231,4997,145,handlebars,4996
21,,146,grips,
46,,150,weather,
25,,151,wind,
516,5001,152,repair,5000
56,,155,cannondale,
23,,156,handling,
100,30977,158,stem,30976
202,3180,162,product-rec,3179
8,,165,utility-cycling,
61,10797,166,headlights,10796
6,,169,glossary,
81,,170,steel,
63,38515,171,aluminum,38514
94,5523,172,trailer,5522
112,5394,174,rack,5393
29,,175,luggage,
57,,177,rust,
301,5507,178,chainring,5506
50,15882,179,wear,15881
340,6947,182,shifter,6946
54,,186,children,
25,,187,learning,
24,,188,indoor,
75,38863,189,trainer,38862
41,,190,rain,
140,5498,191,sram,5497
155,2492,192,winter,2491
28,6951,193,snow,6950
15,,194,ice,
167,20551,195,freewheel,20550
36,13099,196,etiquette,13098
43,4853,197,29er,4852
42,45119,200,tricycle,45118
17,,202,transport-by-car,
57,4828,203,uk,4827
98,21698,206,helmets,21697
95,12999,207,legal,12998
5,,208,chamois,
106,4517,211,accessories,4516
403,2494,212,safety,2493
82,24438,213,power,24437
39,,215,urban-riding,
52,30857,217,nutrition,30856
11,,218,braze-on,
146,7141,219,cyclocross,7140
83,5377,221,folding-bicycle,5376
36,38869,222,inflation,38868
370,15234,223,cassette,15233
494,23513,224,crankset,23512
9,,225,co2,
95,44695,226,pump,44694
8,,227,hayes,
89,5431,229,build,5430
10,8768,232,unicycle,8767
7,,233,messenger-bags,
145,38525,234,spokes,38524
57,23936,235,wheel-truing,23935
4,,236,book,
72,30855,237,fitness,30854
109,10801,238,health,10800
20,15891,239,advocacy,15890
40,29333,240,cadence,29332
4,,241,headphones,
45,,243,bags,
54,4844,245,diy,4843
75,38865,247,bike-computer,38864
20,55501,248,tricks,55500
95,45018,253,sprocket,45017
13,,254,canada,
31,,255,technology,
16,,256,camera,
103,44728,259,speed,44727
312,5590,260,parts,5589
158,5433,261,carbon,5432
73,,262,front,
21,5429,263,reference,5428
44,38823,264,climbing,38822
107,44755,265,shoes,44754
21,9467,267,signals,9466
39,4995,268,regional,4994
8,,270,bike-culture,
22,,272,clicking,
62,,274,fenders,
36,,277,used-bike,
1148,3068,278,mountain-bike,3067
83,23494,282,touring-bikes,23493
15,5396,286,parking,5395
2,,287,subjective,
37,4826,290,us,4825
33,10799,291,led-lights,10798
27,17866,294,upgrade-or-new-bike,17865
142,36121,295,electric-bike,36120
13,3105,296,public-transportation,3104
15,38553,298,drafting,38552
3,,304,charities,
21,31922,306,software,31921
27,,313,compact-crankset,
6,36593,314,chamois-creme,36592
60,32232,320,geometry,32231
157,23508,321,internally-geared-hub,23507
39,,323,child-seat,
13,,326,best-practice,
45,,329,off-road,
12,3066,338,randonneuring,3065
22,,339,skills,
8,,341,pollution,
